RSU,MSE,ROUND
1,1.4115429621597286e-05,5
27,3.285887942183763e-05,5
8,8.736493128935763e-08,5
37,4.59232869616244e-05,5
17,1.614640132174827e-05,5
31,1.5028335837996565e-05,5
20,8.736493128935763e-08,5
14,8.736493128935763e-08,5
11,1.4040603673493024e-05,5
10,1.4725785149494186e-05,5
6,8.736493128935763e-08,5
26,4.2376825149403885e-05,5
30,1.7101072444347665e-05,5
22,5.8070327213499695e-05,5
35,1.6653802958899178e-05,5
15,1.539307959319558e-05,5
7,2.1372412447817624e-05,5
23,8.736493128935763e-08,5
19,8.736493128935763e-08,5
32,8.736493128935763e-08,5
33,1.5215339772112202e-05,5
38,8.736493128935763e-08,5
3,2.3856726329540834e-05,5
12,1.3885236512578558e-05,5
21,1.5175549378909636e-05,5
13,8.736493128935763e-08,5
34,3.215903780073859e-05,5
28,8.736493128935763e-08,5
16,1.1313730283291079e-05,5
